"date","month_label","bucket","probability"
2025-04-01,"Apr 2025","1%",NA
2025-04-01,"Apr 2025","2%",NA
2025-04-01,"Apr 2025","3%",NA
2025-04-01,"Apr 2025","4%",NA
2025-04-01,"Apr 2025","5%",NA
2025-04-01,"Apr 2025","6%",NA
2025-04-01,"Apr 2025","7%",NA
2025-04-01,"Apr 2025","8%",NA
2025-04-01,"Apr 2025","9%",NA
2025-04-01,"Apr 2025","10%",NA
2025-04-01,"Apr 2025","11%",NA
2025-04-01,"Apr 2025","12%",NA
2025-04-01,"Apr 2025","13%",NA
2025-04-01,"Apr 2025","14%",NA
2025-04-01,"Apr 2025","15%",NA
2025-04-01,"Apr 2025","16%",NA
2025-04-01,"Apr 2025","17%",NA
2025-04-01,"Apr 2025","18%",NA
2025-04-01,"Apr 2025","19%",NA
2025-04-01,"Apr 2025","20%",NA
2025-04-01,"Apr 2025","21%",NA
2025-05-01,"May 2025","1%",0
2025-05-01,"May 2025","2%",0
2025-05-01,"May 2025","3%",0
2025-05-01,"May 2025","4%",0
2025-05-01,"May 2025","5%",0
2025-05-01,"May 2025","6%",0
2025-05-01,"May 2025","7%",0
2025-05-01,"May 2025","8%",0
2025-05-01,"May 2025","9%",0
2025-05-01,"May 2025","10%",0
2025-05-01,"May 2025","11%",0
2025-05-01,"May 2025","12%",0
2025-05-01,"May 2025","13%",0
2025-05-01,"May 2025","14%",0.21
2025-05-01,"May 2025","15%",23.56
2025-05-01,"May 2025","16%",68.74
2025-05-01,"May 2025","17%",7.5
2025-05-01,"May 2025","18%",0
2025-05-01,"May 2025","19%",0
2025-05-01,"May 2025","20%",0
2025-05-01,"May 2025","21%",0
2025-07-01,"Jul 2025","1%",0
2025-07-01,"Jul 2025","2%",0
2025-07-01,"Jul 2025","3%",0
2025-07-01,"Jul 2025","4%",0
2025-07-01,"Jul 2025","5%",0
2025-07-01,"Jul 2025","6%",0
2025-07-01,"Jul 2025","7%",0
2025-07-01,"Jul 2025","8%",0
2025-07-01,"Jul 2025","9%",0
2025-07-01,"Jul 2025","10%",0.24
2025-07-01,"Jul 2025","11%",1.38
2025-07-01,"Jul 2025","12%",5.28
2025-07-01,"Jul 2025","13%",13.39
2025-07-01,"Jul 2025","14%",22.56
2025-07-01,"Jul 2025","15%",25.27
2025-07-01,"Jul 2025","16%",18.82
2025-07-01,"Jul 2025","17%",9.32
2025-07-01,"Jul 2025","18%",3.07
2025-07-01,"Jul 2025","19%",0.67
2025-07-01,"Jul 2025","20%",0
2025-07-01,"Jul 2025","21%",0
2025-08-01,"Aug 2025","1%",0
2025-08-01,"Aug 2025","2%",0
2025-08-01,"Aug 2025","3%",0
2025-08-01,"Aug 2025","4%",0
2025-08-01,"Aug 2025","5%",0
2025-08-01,"Aug 2025","6%",0
2025-08-01,"Aug 2025","7%",0
2025-08-01,"Aug 2025","8%",0.14
2025-08-01,"Aug 2025","9%",0.7
2025-08-01,"Aug 2025","10%",2.6
2025-08-01,"Aug 2025","11%",7.1
2025-08-01,"Aug 2025","12%",14.17
2025-08-01,"Aug 2025","13%",20.68
2025-08-01,"Aug 2025","14%",22.05
2025-08-01,"Aug 2025","15%",17.19
2025-08-01,"Aug 2025","16%",9.79
2025-08-01,"Aug 2025","17%",4.08
2025-08-01,"Aug 2025","18%",1.24
2025-08-01,"Aug 2025","19%",0.28
2025-08-01,"Aug 2025","20%",0
2025-08-01,"Aug 2025","21%",0
2025-09-01,"Sep 2025","1%",0
2025-09-01,"Sep 2025","2%",0
2025-09-01,"Sep 2025","3%",0
2025-09-01,"Sep 2025","4%",0.11
2025-09-01,"Sep 2025","5%",0.33
2025-09-01,"Sep 2025","6%",0.87
2025-09-01,"Sep 2025","7%",1.97
2025-09-01,"Sep 2025","8%",3.88
2025-09-01,"Sep 2025","9%",6.68
2025-09-01,"Sep 2025","10%",9.99
2025-09-01,"Sep 2025","11%",13.01
2025-09-01,"Sep 2025","12%",14.74
2025-09-01,"Sep 2025","13%",14.53
2025-09-01,"Sep 2025","14%",12.46
2025-09-01,"Sep 2025","15%",9.3
2025-09-01,"Sep 2025","16%",6.04
2025-09-01,"Sep 2025","17%",3.42
2025-09-01,"Sep 2025","18%",1.68
2025-09-01,"Sep 2025","19%",0.72
2025-09-01,"Sep 2025","20%",0.27
2025-09-01,"Sep 2025","21%",0
2025-11-01,"Nov 2025","1%",0
2025-11-01,"Nov 2025","2%",0
2025-11-01,"Nov 2025","3%",0.1
2025-11-01,"Nov 2025","4%",0.27
2025-11-01,"Nov 2025","5%",0.65
2025-11-01,"Nov 2025","6%",1.38
2025-11-01,"Nov 2025","7%",2.65
2025-11-01,"Nov 2025","8%",4.54
2025-11-01,"Nov 2025","9%",6.98
2025-11-01,"Nov 2025","10%",9.62
2025-11-01,"Nov 2025","11%",11.87
2025-11-01,"Nov 2025","12%",13.12
2025-11-01,"Nov 2025","13%",13
2025-11-01,"Nov 2025","14%",11.53
2025-11-01,"Nov 2025","15%",9.17
2025-11-01,"Nov 2025","16%",6.53
2025-11-01,"Nov 2025","17%",4.17
2025-11-01,"Nov 2025","18%",2.39
2025-11-01,"Nov 2025","19%",1.22
2025-11-01,"Nov 2025","20%",0.56
2025-11-01,"Nov 2025","21%",0.23
2025-12-01,"Dec 2025","1%",0
2025-12-01,"Dec 2025","2%",0.14
