"date","meeting_date","forecast_rate","implied_r_tp1","stdev"
2025-04-01,2025-04-01,4.08499999999999,4.09499999999999,NA
2025-05-01,2025-05-20,3.98,3.80791666666669,0.116135933
2025-06-01,NA,3.78,3.78,NA
2025-07-01,2025-07-08,3.59,3.54458333333334,0.384493316
2025-08-01,2025-08-12,3.365,3.27622916666666,0.440616964
2025-09-01,2025-09-30,3.265,2.94935416666698,0.66658345
2025-10-01,NA,3.11,3.11,NA
2025-11-01,2025-11-04,2.95999999999999,2.95333333333333,0.750901366
2025-12-01,2025-12-09,2.925,2.92514492753623,0.867506913
2026-01-01,NA,2.92,2.92,NA
2026-02-01,NA,2.91499999999999,2.91499999999999,NA
2026-03-01,NA,2.895,2.895,NA
2026-04-01,NA,2.88,2.88,NA
2026-05-01,NA,2.865,2.865,NA
2026-06-01,NA,2.87,2.87,NA
2026-07-01,NA,2.875,2.875,NA
2026-08-01,NA,2.88499999999999,2.88499999999999,NA
2026-09-01,NA,2.89,2.89,NA
