"scrape_date","scrape_time","current_expiry","next_expiry","cash_rate_current","cash_rate_next","implied_r_tp1","RMSE"
NA,2025-04-03 12:00:00,2025-04-01,2025-05-01,4.08499999999999,4,3.87541666666668,NA
NA,2025-04-04 12:00:00,2025-04-01,2025-05-01,4.075,3.965,3.80083333333334,NA
NA,2025-04-07 12:00:00,2025-04-01,2025-05-01,4.05499999999999,3.92,3.71625000000002,NA
NA,2025-04-08 12:00:00,2025-04-01,2025-05-01,4.06999999999999,3.94499999999999,3.75708333333333,NA
NA,2025-04-09 12:00:00,2025-04-01,2025-05-01,4.045,3.88499999999999,3.64166666666664,NA
NA,2025-04-10 12:00:00,2025-04-01,2025-05-01,4.075,3.95999999999999,3.78791666666665,NA
NA,2025-04-11 12:00:00,2025-04-01,2025-05-01,4.075,3.95,3.76208333333334,NA
NA,2025-04-14 12:00:00,2025-04-01,2025-05-01,4.08,3.95,3.75416666666668,NA
NA,2025-04-16 12:00:00,2025-04-01,2025-05-01,4.08499999999999,3.965,3.78500000000002,NA
NA,2025-04-17 12:00:00,2025-04-01,2025-05-01,4.08499999999999,3.98,3.82375000000002,NA
NA,2025-04-19 14:00:34,2025-04-01,2025-05-01,4.08499999999999,3.98,3.82375000000002,NA
NA,2025-04-20 07:25:41,2025-04-01,2025-05-01,4.08499999999999,3.98,3.82375000000002,NA
