days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
1,NA,0.36759818966643104,NA,0.07225533428981698,0.18275051084900332,0.3953769209954088,0.3953769209954088
2,NA,0.36759818966643104,NA,NA,0.1840713245846442,NA,0.36759818966643104
3,NA,0.36759818966643104,NA,NA,0.18539213832028506,NA,0.36759818966643104
4,NA,0.36759818966643104,NA,0.07498333148106741,0.18671295205592592,0.40159683972329746,0.40159683972329746
5,NA,0.36759818966643104,NA,0.08604560508152774,0.1880337657915668,0.4576072000648451,0.4576072000648451
6,NA,0.36759818966643104,NA,0.08626881065777908,0.18935457952720766,0.45559400186243415,0.45559400186243415
7,NA,0.36759818966643104,NA,0.08932618130574464,0.19067539326284855,0.4684725164437307,0.4684725164437307
8,NA,0.36759818966643104,NA,0.08534995831642474,0.1919962069984894,0.4445398148781984,0.4445398148781984
9,NA,0.36759818966643104,NA,NA,0.19331702073413026,NA,0.36759818966643104
10,NA,0.36759818966643104,NA,NA,0.19463783446977115,NA,0.36759818966643104
11,NA,0.36759818966643104,NA,0.07079901129253169,0.195958648205412,0.3612956710046153,0.3612956710046153
12,NA,0.36759818966643104,NA,0.08444388213937913,0.19727946194105286,0.4280419325383753,0.4280419325383753
13,NA,0.36759818966643104,NA,0.08431853523760631,0.19860027567669375,0.42456403925073355,0.42456403925073355
14,NA,0.36759818966643104,NA,0.08495473908092303,0.1999210894123346,0.424941357265741,0.424941357265741
15,NA,0.36759818966643104,NA,0.0814050717970677,0.20124190314797546,0.4045135258793971,0.4045135258793971
16,NA,0.36759818966643104,NA,NA,0.20256271688361635,NA,0.36759818966643104
17,NA,0.36759818966643104,NA,NA,0.2038835306192572,NA,0.36759818966643104
18,NA,0.36759818966643104,NA,0.07045307916362642,0.2052043443548981,0.3433313236379576,0.3433313236379576
19,NA,0.36759818966643104,NA,0.08062257748298349,0.20652515809053895,0.39037654408979655,0.39037654408979655
20,NA,0.36759818966643104,NA,0.07868336182809693,0.2078459718261798,0.3785657289230474,0.3785657289230474
21,NA,0.36759818966643104,NA,0.07951864112089972,0.20916678556182067,0.38016858607504606,0.38016858607504606
22,NA,0.36759818966643104,NA,0.08431853523760667,0.21048759929746155,0.400586711611678,0.400586711611678
23,NA,0.36759818966643104,NA,NA,0.2118084130331024,NA,0.36759818966643104
24,NA,0.36759818966643104,NA,NA,0.2131292267687433,NA,0.36759818966643104
25,NA,0.36759818966643104,NA,0.07056589441469334,0.21445004050438415,0.3290551694405052,0.3290551694405052
26,NA,0.36759818966643104,NA,0.08016909213240171,0.215770854240025,0.3715473640532611,0.3715473640532611
27,NA,0.36759818966643104,NA,0.08192984804086953,0.2170916679756659,0.37739747823971376,0.37739747823971376
28,NA,0.36759818966643104,NA,0.08392173224414096,0.21841248171130676,0.3842350564702022,0.3842350564702022
29,NA,0.36759818966643104,NA,0.08387739067631117,0.21973329544694764,0.38172362775382174,0.38172362775382174
30,NA,0.36759818966643104,NA,NA,0.2210541091825885,NA,0.36759818966643104
31,NA,0.36759818966643104,NA,NA,0.22237492291822936,NA,0.36759818966643104
32,NA,0.36759818966643104,NA,0.06898067362191494,0.22369573665387021,0.3083682981792827,0.3083682981792827
33,NA,0.36759818966643104,NA,0.090818041526267,0.2250165503895111,0.4036060519506586,0.4036060519506586
34,NA,0.36759818966643104,NA,0.08658033175123467,0.22633736412515196,0.38252779025632094,0.38252779025632094
35,NA,0.36759818966643104,NA,0.08505250479220923,0.22765817786079284,0.3735974063897527,0.3735974063897527
36,NA,0.36759818966643104,NA,0.09300537618869142,0.2289789915964337,0.40617427625242436,0.40617427625242436
37,NA,0.36759818966643104,NA,NA,0.23029980533207456,NA,0.36759818966643104
38,NA,0.36759818966643104,NA,NA,0.23162061906771544,NA,0.36759818966643104
