days_to_meeting,finalrmse,source
1,0.07896240229128061,daily
2,0.12426741851486578,daily
3,0.09962537499796659,interpolated
4,0.0749833314810674,daily
5,0.11094918756900748,daily
6,0.10940178243520671,daily
7,0.10892617812400367,daily
8,0.10623335782977822,daily
9,0.10840045154305232,daily
10,0.08907394754864992,interpolated
11,0.06974744355424752,daily
12,0.11244046043510138,daily
13,0.10686586218246116,daily
14,0.11137399457084894,daily
15,0.10786403071834197,daily
16,0.10596927469548881,daily
17,0.08865894532981963,interpolated
18,0.07134861596415047,daily
19,0.09491851141649914,daily
20,0.09644991553597489,daily
21,0.09525068140277371,daily
22,0.10366441759548013,daily
23,0.10387369055609683,daily
24,0.08565551265106029,interpolated
25,0.06743733474602376,daily
26,0.10292032157252995,daily
27,0.10093689898029097,daily
28,0.10046765648705237,daily
29,0.10720945818596515,daily
30,0.11403508232118834,daily
31,0.09251754116059344,interpolated
32,0.07099999999999854,daily
33,0.11183507201828143,daily
34,0.10693207983093728,daily
35,0.10995832543892994,daily
36,0.11320721273785221,daily
37,0.1122473522409611,daily
38,0.0916525149292112,interpolated
39,0.0710576776174613,daily
40,0.10565930573730381,daily
41,0.10730551562809003,daily
42,0.11186726828829872,daily
43,0.11972316552629234,daily
44,0.12250450171800477,daily
45,0.10301689756271254,interpolated
46,0.08352929340742031,daily
47,0.1103541969319156,daily
48,0.10712142642814657,daily
49,0.10967553694537181,daily
50,0.09378741083628127,daily
51,0.09415895650924608,daily
52,0.08830859107056618,interpolated
53,0.08245822563188629,daily
54,0.08271572941038509,daily
55,0.09094845585067653,daily
56,0.10728885047337167,daily
57,0.10711850913824295,daily
58,0.10602476125887109,daily
59,0.10171427997638019,interpolated
60,0.09740379869388928,daily
61,0.09643650760993036,daily
62,0.09817566673296362,daily
63,0.09516761529008047,daily
64,0.09363529018253854,daily
65,0.10712142642814466,daily
66,0.10174047102272094,interpolated
67,0.09635951561729722,daily
68,0.10958654354580395,daily
69,0.11316906309635237,daily
70,0.12238023973225069,daily
71,0.11742428002105143,daily
72,0.1216846040267368,daily
73,0.11920950829592757,interpolated
74,0.11673441256511834,daily
75,0.11180898890518902,daily
76,0.10156385868656481,daily
77,0.0919552566782845,daily
78,0.07817827131155704,daily
79,0.06000000000000805,daily
80,0.08314381154831604,interpolated
81,0.10628762309662403,daily
82,0.12971121771072772,daily
83,0.09725785782697115,daily
84,0.10938640050474686,daily
85,0.2386512345761215,daily
86,0.280564906334827,daily
87,0.2080861680361433,interpolated
88,0.1356074297374596,daily
89,0.2317826876315695,daily
90,0.25772149768766256,daily
91,0.36759818966643104,quarterly_anchor
92,0.25782140136148374,daily
93,0.3150000000000035,daily
94,0.2204966751589429,interpolated
95,0.12599335031788225,daily
96,0.25455844122715915,daily
97,0.2589201714282169,daily
98,0.23167146278009418,daily
99,0.19726704163211,daily
100,0.2449999999999961,daily
101,0.16444882533955274,interpolated
102,0.08389765067910937,daily
103,0.2100956414860356,daily
104,0.21837467801922553,daily
105,0.2237205686948423,daily
106,0.22195908031287112,daily
107,0.2897765596894593,daily
108,0.20534764939034844,interpolated
109,0.12091873909123754,daily
110,0.1845997923436944,daily
111,0.2109699820669649,daily
112,0.19692955593307984,daily
113,0.2191693071239365,daily
114,0.3400000000000092,daily
115,0.22640890253953475,interpolated
116,0.11281780507906031,daily
