days_ahead,rmse_quarterly,rmse_daily,rmse_base,rmse_interpolated
1,NA,0.07225533428981698,0.07225533428981698,0.07225533428981698
2,NA,NA,NA,0.07316466668690046
3,NA,NA,NA,0.07407399908398393
4,NA,0.07498333148106741,0.07498333148106741,0.07498333148106741
5,NA,0.08604560508152774,0.08604560508152774,0.08604560508152774
6,NA,0.08626881065777908,0.08626881065777908,0.08626881065777908
7,NA,0.08932618130574464,0.08932618130574464,0.08932618130574464
8,NA,0.08534995831642474,0.08534995831642474,0.08534995831642474
9,NA,NA,NA,0.08049964264179373
10,NA,NA,NA,0.0756493269671627
11,NA,0.07079901129253169,0.07079901129253169,0.07079901129253169
12,NA,0.08444388213937913,0.08444388213937913,0.08444388213937913
13,NA,0.08431853523760631,0.08431853523760631,0.08431853523760631
14,NA,0.08495473908092303,0.08495473908092303,0.08495473908092303
15,NA,0.0814050717970677,0.0814050717970677,0.0814050717970677
16,NA,NA,NA,0.0777544075859206
17,NA,NA,NA,0.07410374337477352
18,NA,0.07045307916362642,0.07045307916362642,0.07045307916362642
19,NA,0.08062257748298349,0.08062257748298349,0.08062257748298349
20,NA,0.07868336182809693,0.07868336182809693,0.07868336182809693
21,NA,0.07951864112089972,0.07951864112089972,0.07951864112089972
22,NA,0.08431853523760667,0.08431853523760667,0.08431853523760667
23,NA,NA,NA,0.0797343216299689
24,NA,NA,NA,0.07515010802233112
25,NA,0.07056589441469334,0.07056589441469334,0.07056589441469334
26,NA,0.08016909213240171,0.08016909213240171,0.08016909213240171
27,NA,0.08192984804086953,0.08192984804086953,0.08192984804086953
28,NA,0.08392173224414096,0.08392173224414096,0.08392173224414096
29,NA,0.08387739067631117,0.08387739067631117,0.08387739067631117
30,NA,NA,NA,0.07891181832484576
31,NA,NA,NA,0.07394624597338036
32,NA,0.06898067362191494,0.06898067362191494,0.06898067362191494
33,NA,0.090818041526267,0.090818041526267,0.090818041526267
34,NA,0.08658033175123467,0.08658033175123467,0.08658033175123467
35,NA,0.08505250479220923,0.08505250479220923,0.08505250479220923
36,NA,0.09300537618869142,0.09300537618869142,0.09300537618869142
37,NA,NA,NA,0.0860636940359523
38,NA,NA,NA,0.07912201188321318
39,NA,0.07218032973047406,0.07218032973047406,0.07218032973047406
40,NA,0.08421910200695085,0.08421910200695085,0.08421910200695085
41,NA,0.08238044951041604,0.08238044951041604,0.08238044951041604
42,NA,0.08769026931953967,0.08769026931953967,0.08769026931953967
43,NA,0.09413481628156149,0.09413481628156149,0.09413481628156149
44,NA,NA,NA,0.09140452964405477
45,NA,NA,NA,0.08867424300654805
46,NA,0.08594395636904133,0.08594395636904133,0.08594395636904133
47,NA,0.09518201187522539,0.09518201187522539,0.09518201187522539
48,NA,0.08836477427874569,0.08836477427874569,0.08836477427874569
49,NA,0.10305742735646677,0.10305742735646677,0.10305742735646677
50,NA,0.09456377579341808,0.09456377579341808,0.09456377579341808
51,NA,NA,NA,0.0909021189050302
52,NA,NA,NA,0.0872404620166423
53,NA,0.08357880512825441,0.08357880512825441,0.08357880512825441
54,NA,0.07767453465153852,0.07767453465153852,0.07767453465153852
55,NA,0.08256310717667212,0.08256310717667212,0.08256310717667212
56,NA,0.09709234303962033,0.09709234303962033,0.09709234303962033
57,NA,0.09985704067029277,0.09985704067029277,0.09985704067029277
58,NA,NA,NA,0.09869358961666849
59,NA,NA,NA,0.0975301385630442
60,NA,0.09636668750941992,0.09636668750941992,0.09636668750941992
61,NA,0.10019212313581094,0.10019212313581094,0.10019212313581094
62,NA,0.09915716240969485,0.09915716240969485,0.09915716240969485
63,NA,0.09773323751051083,0.09773323751051083,0.09773323751051083
64,NA,0.09212762886344311,0.09212762886344311,0.09212762886344311
65,NA,NA,NA,0.09318063553521805
66,NA,NA,NA,0.094233642206993
67,NA,0.095286648878767935,0.095286648878767935,0.095286648878767935
68,NA,0.09942140305093021,0.09942140305093021,0.09942140305093021
69,NA,0.09636668750942172,0.09636668750942172,0.09636668750942172
70,NA,0.11149151152826586,0.11149151152826586,0.11149151152826586
71,NA,0.11293961724239157,0.11293961724239157,0.11293961724239157
72,NA,NA,NA,0.11292556019113519
73,NA,NA,NA,0.11291150313987881
74,NA,0.11289744608862243,0.11289744608862243,0.11289744608862243
75,NA,0.10192380260989793,0.10192380260989793,0.10192380260989793
76,NA,0.11634663064110828,0.11634663064110828,0.11634663064110828
77,NA,0.1168332144554785,0.1168332144554785,0.1168332144554785
78,NA,0.10420696190317932,0.10420696190317932,0.10420696190317932
79,NA,NA,NA,0.10535833606371751
80,NA,NA,NA,0.10650971022425569
81,NA,0.10766108438479388,0.10766108438479388,0.10766108438479388
82,NA,0.1262171510959165,0.1262171510959165,0.1262171510959165
83,NA,0.12869537676233897,0.12869537676233897,0.12869537676233897
84,NA,0.13814011838598136,0.13814011838598136,0.13814011838598136
85,NA,0.1608959290970419,0.1608959290970419,0.1608959290970419
86,NA,NA,NA,0.15268125649855435
87,NA,NA,NA,0.14446658390006678
88,NA,0.13625191130157924,0.13625191130157924,0.13625191130157924
89,NA,0.15279538138120766,0.15279538138120766,0.15279538138120766
90,NA,0.19221298950210022,0.19221298950210022,0.19221298950210022
91,0.36759818966643104,0.15297687105220598,0.36759818966643104,0.36759818966643104
92,NA,0.1858151574206799,0.1858151574206799,0.1858151574206799
93,NA,NA,NA,0.16497849726918806
94,NA,NA,NA,0.1441418371176962
95,NA,0.12330517696620437,0.12330517696620437,0.12330517696620437
96,NA,0.14391114156543683,0.14391114156543683,0.14391114156543683
97,NA,0.1429233477544312,0.1429233477544312,0.1429233477544312
98,NA,0.1346832704285648,0.1346832704285648,0.1346832704285648
99,NA,0.10376254944182244,0.10376254944182244,0.10376254944182244
100,NA,NA,NA,0.09964499855717229
101,NA,NA,NA,0.09552744767252215
102,NA,0.09140989678787201,0.09140989678787201,0.09140989678787201
103,NA,0.11162264727471383,0.11162264727471383,0.11162264727471383
104,NA,0.12452988519906578,0.12452988519906578,0.12452988519906578
105,NA,0.13739281536632822,0.13739281536632822,0.13739281536632822
106,NA,0.13464238347775773,0.13464238347775773,0.13464238347775773
107,NA,NA,NA,0.12665193238147873
108,NA,NA,NA,0.11866148128519975
109,NA,0.11067103018892077,0.11067103018892077,0.11067103018892077
110,NA,0.12179743587044878,0.12179743587044878,0.12179743587044878
111,NA,0.1296667325818863,0.1296667325818863,0.1296667325818863
112,NA,0.13380422799213576,0.13380422799213576,0.13380422799213576
113,NA,0.1317704881165043,0.1317704881165043,0.1317704881165043
114,NA,NA,NA,0.12573388514990005
115,NA,NA,NA,0.11969728218329583
116,NA,0.1136606792166916,0.1136606792166916,0.1136606792166916
117,NA,0.16050144636642655,0.16050144636642655,0.16050144636642655
118,NA,0.16708637629339462,0.16708637629339462,0.16708637629339462
119,NA,0.16947316556362027,0.16947316556362027,0.16947316556362027
120,NA,0.16328655792808183,0.16328655792808183,0.16328655792808183
121,NA,NA,NA,0.1590283542456522
122,NA,NA,NA,0.15477015056322255
123,NA,0.15051194688079292,0.15051194688079292,0.15051194688079292
124,NA,0.15468285526937356,0.15468285526937356,0.15468285526937356
125,NA,0.17548285035646857,0.17548285035646857,0.17548285035646857
126,NA,0.16005579384344965,0.16005579384344965,0.16005579384344965
127,NA,0.1939018222365808,0.1939018222365808,0.1939018222365808
128,NA,NA,NA,0.1745499194637749
129,NA,NA,NA,0.15519801669096903
130,NA,0.13584611391816312,0.13584611391816312,0.13584611391816312
131,NA,0.14166421566507226,0.14166421566507226,0.14166421566507226
132,NA,0.1285912683105452,0.1285912683105452,0.1285912683105452
133,NA,0.11773911839316697,0.11773911839316697,0.11773911839316697
134,NA,0.095564114603758,0.095564114603758,0.095564114603758
135,NA,NA,NA,0.10177985725565383
136,NA,NA,NA,0.10799559990754967
137,NA,0.11421134255944551,0.11421134255944551,0.11421134255944551
138,NA,0.11378116648265635,0.11378116648265635,0.11378116648265635
139,NA,0.1256648983076313,0.1256648983076313,0.1256648983076313
140,NA,0.11120839757998528,0.11120839757998528,0.11120839757998528
141,NA,0.1272546659262448,0.1272546659262448,0.1272546659262448
142,NA,NA,NA,0.12797208768873825
143,NA,NA,NA,0.1286895094512317
144,NA,0.12940693121372515,0.12940693121372515,0.12940693121372515
145,NA,0.14968147999851697,0.14968147999851697,0.14968147999851697
146,NA,0.14540890619215963,0.14540890619215963,0.14540890619215963
147,NA,0.14295642154705546,0.14295642154705546,0.14295642154705546
148,NA,0.14155727299740556,0.14155727299740556,0.14155727299740556
149,NA,NA,NA,0.14207679439790485
150,NA,NA,NA,0.14259631579840412
151,NA,0.14311583719890342,0.14311583719890342,0.14311583719890342
152,NA,0.15159862419277886,0.15159862419277886,0.15159862419277886
153,NA,0.15462112503695133,0.15462112503695133,0.15462112503695133
154,NA,0.16293622766504307,0.16293622766504307,0.16293622766504307
155,NA,0.173802022016843,0.173802022016843,0.173802022016843
156,NA,NA,NA,0.17258542892929746
157,NA,NA,NA,0.1713688358417519
158,NA,0.17015224275420635,0.17015224275420635,0.17015224275420635
159,NA,0.12560622228585175,0.12560622228585175,0.12560622228585175
