dateExpiry,dateLastTrade,datePreviousSettlement,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-10-29,2025-10-22,2025-10-23,0,0,0,0,96.405,97.09,96.405,96.405,96.405,5,5,881982000,IBV2025,2025-10-01,2025-10-23,2025-10-23T05:51:34Z,3.594999999999999
2025-11-26,2025-10-23,2025-10-23,-0.024999999999991473,-0.0258892973644607,-0.005,-0.005,96.54,97.125,96.48,96.54,96.54,711,711,888966960,IBX2025,2025-11-01,2025-10-23,2025-10-23T05:51:34Z,3.4599999999999937
2025-12-29,2025-10-22,2025-10-23,-0.009999999999990905,-0.010348752975257069,0.005,0.005,96.62,97.19,96.51,96.62,96.61,8,8,895208763,IBZ2025,2025-12-01,2025-10-23,2025-10-23T05:51:34Z,3.3900000000000006
2026-01-28,2025-10-23,2025-10-23,-0.025000000000005684,-0.02586251487095193,0.01,0.01,96.64,97.105,96.63,96.64,96.63,1,1,919010878,IBF2026,2026-01-01,2025-10-23,2025-10-23T05:51:34Z,3.3599999999999994
2026-02-25,2025-10-21,2025-10-23,-0.01999999999999602,-0.02066969822240184,0.005,0.005,96.74000000000001,97.065,96.735,96.74000000000001,96.735,7,7,928464846,IBG2026,2026-02-01,2025-10-23,2025-10-23T05:51:34Z,3.2650000000000006
2026-03-29,2025-10-10,2025-10-23,-0.16499999999999204,-0.1705073886535001,-0.01,-0.01,96.605,97.105,96.605,96.605,96.765,0,0,935346173,IBH2026,2026-03-01,2025-10-23,2025-10-23T05:51:34Z,3.2349999999999994
2026-04-28,2025-10-01,2025-10-23,-0.15000000000000568,-0.15497468746771947,-0.01,-0.01,96.64,96.925,96.635,96.64,96.785,0,0,941648808,IBJ2026,2026-04-01,2025-10-23,2025-10-23T05:51:34Z,3.2150000000000034
2026-05-27,2025-10-14,2025-10-23,-0.12999999999999545,-0.1342420487401853,-0.005,-0.005,96.71000000000001,97.015,96.71000000000001,96.71000000000001,96.85000000000001,0,0,949242588,IBK2026,2026-05-01,2025-10-23,2025-10-23T05:51:34Z,3.1499999999999915
2026-06-28,2025-07-21,2025-10-23,0.1250000000000142,0.12906556530719074,NA,NA,96.97500000000001,96.97500000000001,NA,96.97500000000001,96.86500000000001,0,0,955528239,IBM2026,2026-06-01,2025-10-23,2025-10-23T05:51:34Z,3.134999999999991
2026-07-29,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.87,0,0,962344067,IBN2026,2026-07-01,2025-10-23,2025-10-23T05:51:34Z,NA
2026-08-29,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.87,0,0,969160575,IBQ2026,2026-08-01,2025-10-23,2025-10-23T05:51:34Z,NA
2026-09-28,2025-10-16,2025-10-23,-0.015000000000000568,-0.01548706829797178,-0.015,-0.015,96.84,96.84,96.84,96.84,96.875,0,0,976225343,IBU2026,2026-09-01,2025-10-23,2025-10-23T05:51:34Z,3.125
2026-10-28,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.875,0,0,983956682,IBV2026,2026-10-01,2025-10-23,2025-10-23T05:51:34Z,NA
2026-11-28,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.875,0,0,990482019,IBX2026,2026-11-01,2025-10-23,2025-10-23T05:51:34Z,NA
2026-12-29,2025-10-16,2025-10-23,-0.0049999999999954525,-0.005162889152765194,-0.005,-0.005,96.84,96.84,96.84,96.84,96.87,0,0,996839036,IBZ2026,2026-12-01,2025-10-23,2025-10-23T05:51:34Z,3.1299999999999955
2027-01-27,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.855,0,0,1004041830,IBF2027,2027-01-01,2025-10-23,2025-10-23T05:51:34Z,NA
2027-02-24,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.845,0,0,1010033436,IBG2027,2027-02-01,2025-10-23,2025-10-23T05:51:34Z,NA
2027-03-29,NA,2025-10-23,NA,0,NA,NA,NA,NA,NA,NA,96.83500000000001,0,0,1016946091,IBH2027,2027-03-01,2025-10-23,2025-10-23T05:51:34Z,NA
