dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-11-26,2025-11-04,2025-11-04,96.405,96.4,-0.0049999999999954525,-0.00518618400580381,0,0,96.405,97.125,96.405,96.405,96.405,991,991,888966960,IBX2025,2025-11-01,2025-11-04,2025-11-04T23:12:17Z,3.594999999999999
2025-12-29,2025-11-04,2025-11-04,96.425,96.415,-0.024999999999991473,-0.025921509668714267,0,0,96.42,97.19,96.415,96.42,96.42,25,25,895208763,IBZ2025,2025-12-01,2025-11-04,2025-11-04T23:12:17Z,3.5799999999999983
2026-01-28,2025-11-04,2025-11-04,96.44500000000001,96.425,-0.030000000000001137,-0.031102586698461603,-0.015,-0.016,96.425,97.105,96.425,96.425,96.43,51,51,919010878,IBF2026,2026-01-01,2025-11-04,2025-11-04T23:12:17Z,3.575000000000003
2026-02-25,2025-11-04,2025-11-04,96.495,96.48,-0.04999999999999716,-0.05179736869366742,0.01,0.01,96.48,97.065,96.47,96.48,96.47,300,300,928464846,IBG2026,2026-02-01,2025-11-04,2025-11-04T23:12:17Z,3.519999999999996
2026-03-29,2025-11-04,2025-11-04,96.52,96.505,-0.04000000000000625,-0.0414271658640218,0.03,0.031,96.515,97.105,96.48,96.515,96.485,20,20,935346173,IBH2026,2026-03-01,2025-11-04,2025-11-04T23:12:17Z,3.4849999999999994
2026-04-28,2025-11-04,2025-11-04,96.545,96.52,-0.03999999999999204,-0.04142073107589525,-0.015,-0.016,96.53,96.925,96.53,96.53,96.51,10,10,941648808,IBJ2026,2026-04-01,2025-11-04,2025-11-04T23:12:17Z,3.469999999999999
2026-05-27,2025-10-30,2025-11-04,96.605,96.575,-0.03999999999999204,-0.04139072847681296,-0.03,-0.031,96.60000000000001,97.015,96.60000000000001,96.60000000000001,96.56,0,0,949242588,IBK2026,2026-05-01,2025-11-04,2025-11-04T23:12:17Z,3.4399999999999977
2026-06-28,2025-07-21,2025-11-04,96.62,96.59,0.33500000000000796,0.34664735099338573,NA,NA,96.97500000000001,96.97500000000001,NA,96.97500000000001,96.57000000000001,0,0,955528239,IBM2026,2026-06-01,2025-11-04,2025-11-04T23:12:17Z,3.4299999999999926
2026-07-29,NA,2025-11-04,96.625,96.595,NA,0,NA,NA,NA,NA,NA,NA,96.58,0,0,962344067,IBN2026,2026-07-01,2025-11-04,2025-11-04T23:12:17Z,NA
2026-08-29,NA,2025-11-04,96.63,96.60000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.58,0,0,969160575,IBQ2026,2026-08-01,2025-11-04,2025-11-04T23:12:17Z,NA
2026-09-28,2025-11-04,2025-11-04,96.635,96.605,-0.06499999999999773,-0.06724949562878044,-0.02,-0.021,96.59,96.86500000000001,96.59,96.59,96.58,100,100,976225343,IBU2026,2026-09-01,2025-11-04,2025-11-04T23:12:17Z,3.4099999999999966
2026-10-28,2025-11-04,2025-11-04,96.63,96.60000000000001,-0.0799999999999983,-0.08276432857438268,-0.035,-0.036000000000000004,96.58,96.86500000000001,96.58,96.58,96.58500000000001,100,100,983956682,IBV2026,2026-10-01,2025-11-04,2025-11-04T23:12:17Z,3.4200000000000017
2026-11-28,2025-11-04,2025-11-04,96.625,96.595,-0.07500000000000284,-0.07759557187936769,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.575,100,100,990482019,IBX2026,2026-11-01,2025-11-04,2025-11-04T23:12:17Z,3.4200000000000017
2026-12-29,2025-11-04,2025-11-04,96.61500000000001,96.58500000000001,-0.08499999999999375,-0.08795074758134798,0.005,0.005,96.56,96.86500000000001,96.59,96.56,96.555,100,100,996839036,IBZ2026,2026-12-01,2025-11-04,2025-11-04T23:12:17Z,3.4399999999999977
2027-01-27,NA,2025-11-04,96.61500000000001,96.58500000000001,NA,0,NA,NA,NA,NA,NA,NA,96.56,0,0,1004041830,IBF2027,2027-01-01,2025-11-04,2025-11-04T23:12:17Z,NA
2027-02-24,NA,2025-11-04,96.60000000000001,96.57000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.545,0,0,1010033436,IBG2027,2027-02-01,2025-11-04,2025-11-04T23:12:17Z,NA
2027-03-29,NA,2025-11-04,96.595,96.565,NA,0,NA,NA,NA,NA,NA,NA,96.535,0,0,1016946091,IBH2027,2027-03-01,2025-11-04,2025-11-04T23:12:17Z,NA
2027-04-28,NA,2025-11-04,96.58500000000001,96.555,NA,0,NA,NA,NA,NA,NA,NA,96.525,0,0,1026315950,IBJ2027,2027-04-01,2025-11-04,2025-11-04T23:12:17Z,NA
