dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-04-28,2026-04-01,2026-04-01,95.905,95.9,0,0,0,0,95.905,96.925,95.9,95.905,95.905,42,42,941648808,IBJ2026,2026-04-01,2026-04-01,2026-04-02T05:26:39Z,4.094999999999999,4.094999999999999
2026-05-27,2026-04-02,2026-04-01,95.77,95.76,0.015000000000000568,0.015664978330113905,-0.015,-0.016,95.77,97.015,95.73,95.77,95.785,533,533,949242588,IBK2026,2026-05-01,2026-04-01,2026-04-02T05:26:39Z,4.230000000000004,4.215000000000003
2026-06-28,2026-04-02,2026-04-01,95.705,95.69,0.009999999999990905,0.010451505016712902,-0.045,-0.047,95.69,96.97500000000001,95.69500000000001,95.69,95.735,28,28,955528239,IBM2026,2026-06-01,2026-04-01,2026-04-02T05:26:39Z,4.310000000000002,4.265000000000001
2026-07-29,2026-04-01,2026-04-01,95.665,95.64,0.08499999999999375,0.08889353691695644,0.035,0.037,95.705,96.075,95.67,95.705,95.69500000000001,77,77,962344067,IBN2026,2026-07-01,2026-04-01,2026-04-02T05:26:39Z,4.295000000000002,4.304999999999993
2026-08-29,2026-04-01,2026-04-01,95.55,95.54,0.07500000000000284,0.07852169816259524,0.03,0.031,95.59,96.15,95.59,95.59,95.605,50,50,969160575,IBQ2026,2026-08-01,2026-04-01,2026-04-02T05:26:39Z,4.409999999999997,4.394999999999996
2026-09-28,2026-04-01,2026-04-01,95.485,95.46000000000001,0.08500000000000796,0.0890565247000974,-0.025,-0.026000000000000002,95.53,96.86500000000001,95.56,95.53,95.555,2,2,976225343,IBU2026,2026-09-01,2026-04-01,2026-04-02T05:26:39Z,4.469999999999999,4.444999999999993
2026-10-28,2026-04-02,2026-04-01,95.375,95.345,0.07000000000000739,0.07342914087905947,-0.06,-0.063,95.4,96.86500000000001,95.205,95.4,95.46000000000001,50,50,983956682,IBV2026,2026-10-01,2026-04-01,2026-04-02T05:26:39Z,4.599999999999994,4.539999999999992
2026-11-28,2026-04-01,2026-04-01,95.29,95.265,0.10999999999999943,0.1154613204576461,0.075,0.079,95.38,96.86500000000001,95.35000000000001,95.38,95.385,26,26,990482019,IBX2026,2026-11-01,2026-04-01,2026-04-02T05:26:39Z,4.6200000000000045,4.614999999999995
2026-12-29,2026-03-25,2026-04-01,95.27,95.24,0.13500000000000512,0.14175460702473366,0.13,0.136,95.37,96.86500000000001,95.37,95.37,95.38,0,0,996839036,IBZ2026,2026-12-01,2026-04-01,2026-04-02T05:26:39Z,4.6200000000000045,4.6200000000000045
2027-01-27,NA,2026-04-01,95.265,95.235,NA,0,NA,NA,NA,NA,NA,NA,95.38,0,0,1004041830,IBF2027,2027-01-01,2026-04-01,2026-04-02T05:26:39Z,4.6200000000000045,4.6200000000000045
2027-02-24,NA,2026-04-01,95.26,95.23,NA,0,NA,NA,NA,NA,NA,NA,95.385,0,0,1010033436,IBG2027,2027-02-01,2026-04-01,2026-04-02T05:26:39Z,4.614999999999995,4.614999999999995
2027-03-29,NA,2026-04-01,95.255,95.22500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.385,0,0,1016946091,IBH2027,2027-03-01,2026-04-01,2026-04-02T05:26:39Z,4.614999999999995,4.614999999999995
2027-04-28,NA,2026-04-01,95.255,95.22500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.39,0,0,1026315950,IBJ2027,2027-04-01,2026-04-01,2026-04-02T05:26:39Z,4.609999999999999,4.609999999999999
2027-05-29,NA,2026-04-01,95.27,95.24,NA,0,NA,NA,NA,NA,NA,NA,95.41,0,0,1033478754,IBK2027,2027-05-01,2026-04-01,2026-04-02T05:26:39Z,4.590000000000003,4.590000000000003
2027-06-28,NA,2026-04-01,95.28,95.25,NA,0,NA,NA,NA,NA,NA,NA,95.42,0,0,1041047069,IBM2027,2027-06-01,2026-04-01,2026-04-02T05:26:39Z,4.579999999999998,4.579999999999998
2027-07-28,NA,2026-04-01,95.305,95.275,NA,0,NA,NA,NA,NA,NA,NA,95.44,0,0,1048381155,IBN2027,2027-07-01,2026-04-01,2026-04-02T05:26:39Z,4.560000000000002,4.560000000000002
2027-08-29,NA,2026-04-01,95.32000000000001,95.29,NA,0,NA,NA,NA,NA,NA,NA,95.46000000000001,0,0,1056394462,IBQ2027,2027-08-01,2026-04-01,2026-04-02T05:26:39Z,4.539999999999992,4.539999999999992
2027-09-28,NA,2026-04-01,95.33500000000001,95.305,NA,0,NA,NA,NA,NA,NA,NA,95.47500000000001,0,0,1065438498,IBU2027,2027-09-01,2026-04-01,2026-04-02T05:26:39Z,4.5249999999999915,4.5249999999999915
