"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2023-09-05,2022-04-21,"0.10%",-300,0.1,0
2023-09-05,2022-04-21,"0.35%",-300,0.35,0
2023-09-05,2022-04-21,"0.60%",-300,0.6,0
2023-09-05,2022-04-21,"0.85%",-275,0.85,0
2023-09-05,2022-04-21,"1.10%",-250,1.1,0
2023-09-05,2022-04-21,"1.35%",-225,1.35,0
2023-09-05,2022-04-21,"1.60%",-200,1.6,0
2023-09-05,2022-04-21,"1.85%",-175,1.85,0
2023-09-05,2022-04-21,"2.10%",-150,2.1,0.0151274655014819
2023-09-05,2022-04-21,"2.35%",-125,2.35,0.0423783509978043
2023-09-05,2022-04-21,"2.60%",-100,2.6,0.0917257625119449
2023-09-05,2022-04-21,"2.85%",-75,2.85,0.153410944846198
2023-09-05,2022-04-21,"3.10%",-50,3.1,0.198276922481873
2023-09-05,2022-04-21,"3.35%",-25,3.35,0.198041210002352
2023-09-05,2022-04-21,"3.60%",0,3.6,0.152864440682246
2023-09-05,2022-04-21,"3.85%",25,3.85,0.0911817558180502
2023-09-05,2022-04-21,"4.10%",50,4.1,0.0420268450371508
2023-09-05,2022-04-21,"4.35%",75,4.35,0.0149663021208977
2023-09-05,2022-04-21,"4.60%",100,4.6,0
2023-09-05,2022-04-21,"4.85%",125,4.85,0
2023-09-05,2022-04-21,"5.10%",150,5.1,0
2023-09-05,2022-04-21,"5.35%",175,5.35,0
2023-09-05,2022-04-21,"5.60%",200,5.6,0
2023-09-05,2022-04-21,"5.85%",225,5.85,0
2023-09-05,2022-04-21,"6.10%",250,6.1,0
2023-09-05,2022-04-26,"0.10%",-300,0.1,0
2023-09-05,2022-04-26,"0.35%",-300,0.35,0
2023-09-05,2022-04-26,"0.60%",-300,0.6,0
2023-09-05,2022-04-26,"0.85%",-275,0.85,0
2023-09-05,2022-04-26,"1.10%",-250,1.1,0
2023-09-05,2022-04-26,"1.35%",-225,1.35,0
2023-09-05,2022-04-26,"1.60%",-200,1.6,0
2023-09-05,2022-04-26,"1.85%",-175,1.85,0
2023-09-05,2022-04-26,"2.10%",-150,2.1,0
2023-09-05,2022-04-26,"2.35%",-125,2.35,0.0215660700585789
2023-09-05,2022-04-26,"2.60%",-100,2.6,0.0483582817853581
2023-09-05,2022-04-26,"2.85%",-75,2.85,0.089350382123426
2023-09-05,2022-04-26,"3.10%",-50,3.1,0.136039177894085
2023-09-05,2022-04-26,"3.35%",-25,3.35,0.170680921254842
2023-09-05,2022-04-26,"3.60%",0,3.6,0.176467830814021
2023-09-05,2022-04-26,"3.85%",25,3.85,0.150351103455657
2023-09-05,2022-04-26,"4.10%",50,4.1,0.105561077198386
2023-09-05,2022-04-26,"4.35%",75,4.35,0.0610727572567923
2023-09-05,2022-04-26,"4.60%",100,4.6,0.0291154238337362
2023-09-05,2022-04-26,"4.85%",125,4.85,0.0114369743251171
2023-09-05,2022-04-26,"5.10%",150,5.1,0
2023-09-05,2022-04-26,"5.35%",175,5.35,0
2023-09-05,2022-04-26,"5.60%",200,5.6,0
2023-09-05,2022-04-26,"5.85%",225,5.85,0
2023-09-05,2022-04-26,"6.10%",250,6.1,0
2023-09-05,2022-04-27,"0.10%",-300,0.1,0
2023-09-05,2022-04-27,"0.35%",-300,0.35,0
2023-09-05,2022-04-27,"0.60%",-300,0.6,0
2023-09-05,2022-04-27,"0.85%",-275,0.85,0
2023-09-05,2022-04-27,"1.10%",-250,1.1,0
2023-09-05,2022-04-27,"1.35%",-225,1.35,0
2023-09-05,2022-04-27,"1.60%",-200,1.6,0
2023-09-05,2022-04-27,"1.85%",-175,1.85,0
2023-09-05,2022-04-27,"2.10%",-150,2.1,0.0115534443290736
2023-09-05,2022-04-27,"2.35%",-125,2.35,0.0291717187092641
2023-09-05,2022-04-27,"2.60%",-100,2.6,0.0608388888486402
2023-09-05,2022-04-27,"2.85%",-75,2.85,0.104806402505934
2023-09-05,2022-04-27,"3.10%",-50,3.1,0.149140519255881
2023-09-05,2022-04-27,"3.35%",-25,3.35,0.175312950587003
2023-09-05,2022-04-27,"3.60%",0,3.6,0.170234318440916
2023-09-05,2022-04-27,"3.85%",25,3.85,0.136550793016526
2023-09-05,2022-04-27,"4.10%",50,4.1,0.0904793631942178
2023-09-05,2022-04-27,"4.35%",75,4.35,0.0495224737098171
2023-09-05,2022-04-27,"4.60%",100,4.6,0.0223891274027257
2023-09-05,2022-04-27,"4.85%",125,4.85,0
2023-09-05,2022-04-27,"5.10%",150,5.1,0
2023-09-05,2022-04-27,"5.35%",175,5.35,0
2023-09-05,2022-04-27,"5.60%",200,5.6,0
2023-09-05,2022-04-27,"5.85%",225,5.85,0
2023-09-05,2022-04-27,"6.10%",250,6.1,0
2023-09-05,2022-04-28,"0.10%",-300,0.1,0
2023-09-05,2022-04-28,"0.35%",-300,0.35,0
2023-09-05,2022-04-28,"0.60%",-300,0.6,0
2023-09-05,2022-04-28,"0.85%",-275,0.85,0
2023-09-05,2022-04-28,"1.10%",-250,1.1,0
2023-09-05,2022-04-28,"1.35%",-225,1.35,0
2023-09-05,2022-04-28,"1.60%",-200,1.6,0
2023-09-05,2022-04-28,"1.85%",-175,1.85,0
2023-09-05,2022-04-28,"2.10%",-150,2.1,0
2023-09-05,2022-04-28,"2.35%",-125,2.35,0.027056743119051
2023-09-05,2022-04-28,"2.60%",-100,2.6,0.0625766202813773
2023-09-05,2022-04-28,"2.85%",-75,2.85,0.114942916340546
